Value	Type	Row	Col	
(		 SPECIAL_SYMBOL		 38	 9
%d is Arm \n		  STRING		 38	 11
,		 SPECIAL_SYMBOL		 38	 24
x		 IDENTIFIER		 38	 25
[		 SPECIAL_SYMBOL		 38	 26
i		 IDENTIFIER		 38	 27
]		 SPECIAL_SYMBOL		 38	 28
)		 SPECIAL_SYMBOL		 38	 29
;		 SPECIAL_SYMBOL		 38	 30
else		 KEYWORD		 39	 2
printf		 IDENTIFIER		 40	 3
(		 SPECIAL_SYMBOL		 40	 9
%d is not a Arm \n		  STRING		 40	 11
,		 SPECIAL_SYMBOL		 40	 30
x		 IDENTIFIER		 40	 31
[		 SPECIAL_SYMBOL		 40	 32
i		 IDENTIFIER		 40	 33
]		 SPECIAL_SYMBOL		 40	 34
)		 SPECIAL_SYMBOL		 40	 35
;		 SPECIAL_SYMBOL		 40	 36
return		 KEYWORD		 41	 2
0		  NUMBER		 41	 10
;		 SPECIAL_SYMBOL		 41	 10
}		 SPECIAL_SYMBOL		 42	 1
